category,name_en,image_url
topic,loud,/symbols/mulberry/loud.svg
topic,fat,/symbols/mulberry/fat.svg
topic,thin,/symbols/mulberry/thin.svg
topic,tall,/symbols/mulberry/tall.svg
topic,short,/symbols/mulberry/short_2.svg
topic,long,/symbols/mulberry/long.svg
topic,empty,/symbols/mulberry/empty.svg
topic,full,/symbols/mulberry/full.svg
topic,deep,/symbols/mulberry/deep.svg
topic,shallow,/symbols/mulberry/shallow.svg
topic,open,/symbols/mulberry/open_2.svg
topic,closed,/symbols/mulberry/closed.svg
topic,heavy,/symbols/mulberry/heavy.svg
topic,light,/symbols/mulberry/light.svg
topic,broken,/symbols/mulberry/broken.svg
topic,soft,/symbols/mulberry/soft.svg
topic,hard,/symbols/mulberry/hard.svg
topic,curly,/symbols/mulberry/curly.svg
topic,thick,/symbols/mulberry/thick.svg
topic,shiny,/symbols/mulberry/shiny.svg
topic,fancy,/symbols/mulberry/fancy.svg
topic,noisy,/symbols/mulberry/noisy.svg
topic,dry,/symbols/mulberry/dry.svg
topic,wet,/symbols/mulberry/wet_1.svg
topic,sticky,/symbols/mulberry/sticky.svg
topic,where is,/symbols/mulberry/where.svg
topic,fork,/symbols/mulberry/fork.svg
topic,knife,/symbols/mulberry/knife.svg
topic,spoon,/symbols/mulberry/spoon.svg
topic,plate,/symbols/mulberry/plate.svg
topic,drinking glass,"/symbols/mulberry/glass_,_drinking.svg"
topic,mug,/symbols/mulberry/mug_2.svg
topic,serviette,/symbols/mulberry/serviette.svg
topic,bowl,/symbols/mulberry/bowl.svg
topic,place mat,/symbols/mulberry/place_mat.svg
topic,cooker,/symbols/mulberry/cooker.svg
topic,fridge,/symbols/mulberry/fridge.svg
topic,apron,/symbols/mulberry/apron.svg
topic,pen,/symbols/mulberry/pen.svg
topic,pencil,/symbols/mulberry/pencil.svg
topic,pencil sharpener,/symbols/mulberry/pencil_sharpener.svg
topic,pencil case,/symbols/mulberry/pencil_case.svg
topic,school bag,/symbols/mulberry/school_bag.svg
topic,notebook,/symbols/mulberry/notebook.svg
topic,ring binder,/symbols/mulberry/ring_binder.svg
topic,calculator,/symbols/mulberry/calculator.svg
topic,scissors,/symbols/mulberry/scissors.svg
topic,blackboard,/symbols/mulberry/blackboard.svg
topic,algebra class,/symbols/mulberry/algebra_class.svg
topic,art class,/symbols/mulberry/art_class.svg
topic,drama class,/symbols/mulberry/drama_class.svg
topic,english class,/symbols/mulberry/english_class.svg
topic,geography class,/symbols/mulberry/geography_class.svg
topic,history class,/symbols/mulberry/history_class.svg
topic,maths class,/symbols/mulberry/maths_class.svg
topic,IT class,/symbols/mulberry/it_class.svg
topic,music class,/symbols/mulberry/music_class.svg
topic,science class,/symbols/mulberry/science_class.svg
topic,no class,/symbols/mulberry/no_class.svg
topic,tippex,/symbols/mulberry/tippex.svg
topic,crayon,/symbols/mulberry/crayon.svg
topic,glue,/symbols/mulberry/glue.svg
topic,stapler,/symbols/mulberry/stapler.svg
topic,I saw,/symbols/arasaac/i_saw.png
topic,dog,/symbols/mulberry/dog.svg
topic,cat,/symbols/mulberry/cat.svg
topic,hamster,/symbols/mulberry/hamster.svg
topic,rabbit,/symbols/mulberry/rabbit.svg
topic,hedgehog,/symbols/mulberry/hedgehog.svg
topic,horse,/symbols/mulberry/horse.svg
topic,donkey,/symbols/mulberry/donkey.svg
topic,toad,/symbols/mulberry/toad.svg
topic,sheep,/symbols/mulberry/sheep.svg
topic,dog kennel,/symbols/mulberry/dog_kennel.svg
topic,cage,/symbols/mulberry/cage.svg
topic,stable,/symbols/mulberry/stable.svg
topic,frog,/symbols/mulberry/frog.svg
topic,chick,/symbols/mulberry/chick.svg
topic,chicken live,/symbols/mulberry/live_chicken.svg
topic,mouse,/symbols/mulberry/mouse.svg
topic,rat,/symbols/mulberry/rat.svg
topic,parrot,/symbols/mulberry/parrot.svg
topic,nest,/symbols/mulberry/nest.svg
topic,goose,/symbols/mulberry/goose.svg
topic,cow,/symbols/mulberry/cow.svg
topic,tiger,/symbols/mulberry/tiger.svg
topic,elephant,/symbols/mulberry/elephant.svg
topic,giraffe,/symbols/mulberry/giraffe.svg
topic,gorilla,/symbols/mulberry/gorilla.svg
topic,snake,/symbols/mulberry/snake.svg
topic,rattle snake,/symbols/mulberry/rattle_snake.svg
topic,panda,/symbols/mulberry/panda.svg
topic,hippopotamus,/symbols/mulberry/hippopotamus.svg
topic,bear,/symbols/mulberry/bear.svg
topic,polar bear,/symbols/mulberry/polar_bear.svg
topic,fox,/symbols/mulberry/fox.svg
topic,lion,/symbols/mulberry/lion.svg
topic,wolf,/symbols/mulberry/wolf.svg
topic,chimpanzee,/symbols/mulberry/chimpanzee.svg
topic,deer,/symbols/mulberry/deer.svg
topic,zebra,/symbols/mulberry/zebra.svg
topic,kangaroo,/symbols/mulberry/kangaroo.svg
topic,bat,/symbols/mulberry/bat.svg
topic,koala,/symbols/mulberry/koala.svg
topic,rhinoceros,/symbols/mulberry/rhinoceros.svg
topic,dinosaur,/symbols/mulberry/dinosaur.svg
topic,cheetah,/symbols/mulberry/cheetah.svg
topic,ant eater,/symbols/mulberry/ant_eater.svg
topic,antelope,/symbols/mulberry/antelope.svg
topic,chameleon,/symbols/mulberry/chameleon.svg
topic,seahorse,/symbols/mulberry/seahorse.svg
